Electricity-supply-from-grid,Electricity-supply-photovoltaics,Electricity-supply-batteries-discharge,Electricity-demand-base,Electricity-demand-batteries-charge,Electricity-demand-heat-pumps,Electricity-demand-electro-mobility
0,9.454271,0,4.867851,0,0.15450874,4.4319115
0,13.453039,0,5.4235816,3.8435676,0.1474857,4.038404
0,13.896007,0,6.115979,3.939734,0.27351728,3.5667765
0,13.684635,0,5.886315,4.3318124,0.08336151,3.3831463
0,13.8603115,0,5.4961915,4.7788343,0.11542359,3.4698622
0,10.262849,0,5.1437774,1.4243388,0.046904378,3.6478283
0,15.905084,0,5.248555,6.8827095,0.2718262,3.501993
0,13.692717,0,4.7834334,5.559505,0.015329324,3.334449
0,7.1119747,0,4.2035646,0,0.08336151,2.8250482
0,2.2053957,3.2568398,4.365643,0,0,1.0965927
0,0.7043181,5.048618,4.068281,0,0,1.684655
0,0.014423626,5.262242,3.4090064,0,0,1.8676591
0,0,4.166116,2.7703478,0,0.001011232,1.3947572
0,0,3.1374304,2.3426504,0,0.009877795,0.7849021
0.5538523,0,1.8910216,2.0451007,0,0.015126798,0.38464642
2.2829747,0,0,1.9550302,0,0.05795321,0.2699914
0.9145844,0,1.1662123,1.7499347,0,0.06087067,0.2699914
0.72622323,0,1.338011,1.726516,0,0.06772688,0.2699914
1.7998432,0,0.30742896,1.7689723,0,0.06830846,0.2699914
0,0.41001195,1.810338,1.8791046,0,0.07125386,0.2699914
0,1.1407261,1.5968229,2.4026191,0,0.064938426,0.2699914
0.785918,2.8337681,0,3.0903878,0,0.25930697,0.2699914
0,4.705923,0,3.76679,0,0.45635426,0.48277888
1.6400907,6.282229,0,4.3554945,0,0.12999511,3.4368296
2.2302535,9.825343,0,5.009712,2.6232495,0.12610722,4.2965274
1.9857409,9.403592,0,5.2717967,2.0342865,0.16021663,3.9230335
1.5708258,7.7963157,0,5.832705,0,0.059043374,3.4753928
0.3248374,7.814747,0,5.626579,0,0.22502047,2.287985
0,14.463003,0,5.69191,4.914459,0.4732266,3.3834076
0,16.427969,0,5.72601,6.813829,0.33580795,3.5523224
0,16.427969,0,5.4279456,7.5280857,0.058034092,3.4139042
0,11.492344,0,4.7598267,3.3593798,0.11212447,3.2610126
0,9.088747,0,4.4563527,1.0489771,0.14436561,3.4390514
0,6.8603315,0,4.7873526,0,0.03406193,2.038917
0.8024943,2.5934422,2.4405925,4.2765517,0,0.023560192,1.5364169
0,0.039368622,5.1871266,3.4670162,0,0.049366083,1.7101132
0,0,4.117546,2.8082423,0,0.048040763,1.2612629
0,0,3.1010776,2.364813,0,0.053840004,0.68242455
2.4223325,0,0,2.055222,0,0.06458469,0.30252567
0.45680007,0,1.7882687,1.9568286,0,0.018248785,0.2699914
0,0,2.0391493,1.7499347,0,0.019223282,0.2699914
0,0,1.9761388,1.6861455,0,0.020001922,0.2699914
0.4459798,0,1.6207037,1.7760044,0,0.020687684,0.2699914
1.5354878,0.25624442,0.37837407,1.8836865,0,0.016428275,0.2699914
1.3941077,1.3285869,0,2.4419181,0,0.010785123,0.2699914
0.7990601,4.275475,0,3.229998,0,0.007532562,1.8370047
0,10.16496,0,4.2010283,2.5475924,0.2679007,3.148438
0,16.42747,0,5.131133,6.8404307,0.28464946,4.171256
0,16.1869,0,5.532893,5.933511,0.2907704,4.4297247
0,14.946329,0,5.7482486,5.139433,0.02210696,4.036541
0,13.9914255,0,6.36288,3.4810894,0.58215517,3.5653007
0,13.784244,0,6.1459413,4.0581665,0.19831443,3.3818214
0,14.105856,0,5.7699757,4.7080903,0.15932435,3.468466
0,15.427469,0,5.7570977,5.7692533,0.25483242,3.646286
